instance_id,n,m,density,profit_type,alpha,greedy_profit,exact_profit,approximation_ratio,profit_gap,relative_profit_gap,greedy_feasible,exact_feasible,greedy_consistent,exact_consistent
3,7,3,sparse,random,0.8,784,914,0.8577680525164114,130,0.1422319474835886,True,True,True,True
4,7,3,sparse,random,0.8,364,402,0.9054726368159204,38,0.0945273631840796,True,True,True,True
5,7,3,sparse,random,0.8,341,473,0.7209302325581395,132,0.27906976744186046,True,True,True,True
1,7,3,sparse,correlated,0.3,2,2,1.0,0,0.0,True,True,True,True
2,7,3,sparse,correlated,0.3,5,9,0.5555555555555556,4,0.4444444444444444,True,True,True,True
3,7,3,sparse,correlated,0.3,20,20,1.0,0,0.0,True,True,True,True
4,7,3,sparse,correlated,0.3,9,11,0.8181818181818182,2,0.18181818181818182,True,True,True,True
5,7,3,sparse,correlated,0.3,4,6,0.6666666666666666,2,0.3333333333333333,True,True,True,True
1,7,3,sparse,correlated,0.8,15,18,0.8333333333333334,3,0.16666666666666666,True,True,True,True
2,7,3,sparse,correlated,0.8,15,30,0.5,15,0.5,True,True,True,True
3,7,3,sparse,correlated,0.8,60,60,1.0,0,0.0,True,True,True,True
4,7,3,sparse,correlated,0.8,36,37,0.972972972972973,1,0.02702702702702703,True,True,True,True
5,7,3,sparse,correlated,0.8,16,20,0.8,4,0.2,True,True,True,True
1,7,3,sparse,anticorrelated,0.3,32,32,1.0,0,0.0,True,True,True,True
2,7,3,sparse,anticorrelated,0.3,20,37,0.5405405405405406,17,0.4594594594594595,True,True,True,True
3,7,3,sparse,anticorrelated,0.3,84,84,1.0,0,0.0,True,True,True,True
4,7,3,sparse,anticorrelated,0.3,54,90,0.6,36,0.4,True,True,True,True
5,7,3,sparse,anticorrelated,0.3,18,44,0.4090909090909091,26,0.5909090909090909,True,True,True,True
1,7,3,sparse,anticorrelated,0.8,80,94,0.851063829787234,14,0.14893617021276595,True,True,True,True
2,7,3,sparse,anticorrelated,0.8,60,122,0.4918032786885246,62,0.5081967213114754,True,True,True,True
3,7,3,sparse,anticorrelated,0.8,252,252,1.0,0,0.0,True,True,True,True
