n,m,density,profit_type,alpha,num_instances,avg_ratio,min_ratio,max_ratio,num_optimal,exact_rate,avg_profit_gap,min_profit_gap,max_profit_gap,avg_relative_profit_gap,min_relative_profit_gap,max_relative_profit_gap,greedy_feasible_count,exact_feasible_count,greedy_consistent_count,exact_consistent_count
5,2,dense,random,0.8,30,0.948679634727177,0.6782608695652174,1.0,15,0.5,13.666666666666666,0,83,0.051320365272823035,0.0,0.3217391304347826,30,30,30,30
5,2,sparse,anticorrelated,0.3,30,0.9317604617604619,0.5,1.0,25,0.8333333333333334,2.066666666666667,0,17,0.06823953823953824,0.0,0.5,30,30,30,30
5,2,sparse,anticorrelated,0.8,30,0.8168966531760588,0.5,1.0,14,0.4666666666666667,11.266666666666667,0,68,0.18310334682394128,0.0,0.5,30,30,30,30
5,2,sparse,correlated,0.3,30,0.9413492063492064,0.5,1.0,24,0.8,0.43333333333333335,0,5,0.05865079365079365,0.0,0.5,30,30,30,30
5,2,sparse,correlated,0.8,30,0.804861239806892,0.46153846153846156,1.0,10,0.3333333333333333,2.7666666666666666,0,16,0.19513876019310805,0.0,0.5384615384615384,30,30,30,30
5,2,sparse,random,0.3,30,0.9246424358292679,0.5095541401273885,1.0,22,0.7333333333333333,10.933333333333334,0,77,0.07535756417073206,0.0,0.49044585987261147,30,30,30,30
5,2,sparse,random,0.8,30,0.7567420661217047,0.5095541401273885,1.0,8,0.26666666666666666,59.63333333333333,0,260,0.24325793387829525,0.0,0.49044585987261147,30,30,30,30
5,3,dense,anticorrelated,0.3,30,1.0,1.0,1.0,30,1.0,0.0,0,0,0.0,0.0,0.0,30,30,30,30
5,3,dense,anticorrelated,0.8,30,0.932495849804478,0.7,1.0,18,0.6,3.5,0,18,0.06750415019552204,0.0,0.3,30,30,30,30
5,3,dense,correlated,0.3,30,1.0,1.0,1.0,30,1.0,0.0,0,0,0.0,0.0,0.0,30,30,30,30
